files,target,images
../input/fashiondata/data/shoes/5da81ceb7861c2af6a5a89a7_1.jpg,shoes,5da81ceb7861c2af6a5a89a7_1.jpg
../input/fashiondata/data/beauty/5da81d8a7861c2af6a5a901c_3.jpg,beauty,5da81d8a7861c2af6a5a901c_3.jpg
../input/fashiondata/data/beauty/5da820f26504fb65da0043e6_0.jpg,beauty,5da820f26504fb65da0043e6_0.jpg
../input/fashiondata/data/jewelry and watches/5da81c026504fb65cea700d2_0.jpg,jewelry and watches,5da81c026504fb65cea700d2_0.jpg
../input/fashiondata/data/bags/5da81d2c7861c2af6a5a8c64_2.jpg,bags,5da81d2c7861c2af6a5a8c64_2.jpg
../input/fashiondata/data/jewelry and watches/5da81d8a7861c2af6a5a9051_3.jpg,jewelry and watches,5da81d8a7861c2af6a5a9051_3.jpg
../input/fashiondata/data/bags/5da81b33b25b035d1d17a612_0.jpg,bags,5da81b33b25b035d1d17a612_0.jpg
../input/fashiondata/data/shoes/5da81b60b25b035d1d17a72a_3.jpg,shoes,5da81b60b25b035d1d17a72a_3.jpg
../input/fashiondata/data/beauty/5da821f66504fb65da005733_1.jpg,beauty,5da821f66504fb65da005733_1.jpg
../input/fashiondata/data/bags/5da81eff7f3e301b4504b90b_0.jpg,bags,5da81eff7f3e301b4504b90b_0.jpg
../input/fashiondata/data/shoes/5da8190b6504fb65cb2615c6_3.jpg,shoes,5da8190b6504fb65cb2615c6_3.jpg
../input/fashiondata/data/shoes/5da81d047861c2af6a5a8ac5_0.jpg,shoes,5da81d047861c2af6a5a8ac5_0.jpg
../input/fashiondata/data/bags/5da81ad87d3a9baa211f7ffb_0.jpg,bags,5da81ad87d3a9baa211f7ffb_0.jpg
../input/fashiondata/data/beauty/5da822126504fb65da0059cc_3.jpg,beauty,5da822126504fb65da0059cc_3.jpg
../input/fashiondata/data/jewelry and watches/5da81cc57861c2af6a5a87da_2.jpg,jewelry and watches,5da81cc57861c2af6a5a87da_2.jpg
../input/fashiondata/data/jewelry and watches/5da81ea66504fb65cea7019a_0.jpg,jewelry and watches,5da81ea66504fb65cea7019a_0.jpg
../input/fashiondata/data/shoes/5da820116504fb65cea70290_3.jpg,shoes,5da820116504fb65cea70290_3.jpg
../input/fashiondata/data/shoes/5da81d36b25b035d1d17abe9_3.jpg,shoes,5da81d36b25b035d1d17abe9_3.jpg
../input/fashiondata/data/beauty/5da820df6504fb65da0042ea_3.jpg,beauty,5da820df6504fb65da0042ea_3.jpg
../input/fashiondata/data/jewelry and watches/5da822446504fb65c4de4135_2.jpg,jewelry and watches,5da822446504fb65c4de4135_2.jpg
../input/fashiondata/data/beauty/5da81be16504fb65da0035dd_0.jpg,beauty,5da81be16504fb65da0035dd_0.jpg
../input/fashiondata/data/bags/5db81155d5424ee1f3352fb4_2.jpg,bags,5db81155d5424ee1f3352fb4_2.jpg
../input/fashiondata/data/shoes/5db81110d5424ee1f3352d66_2.jpg,shoes,5db81110d5424ee1f3352d66_2.jpg
../input/fashiondata/data/beauty/5da81d9a7d3a9baa211f842e_0.jpg,beauty,5da81d9a7d3a9baa211f842e_0.jpg
../input/fashiondata/data/shoes/5da81f776504fb65cb2618ff_1.jpg,shoes,5da81f776504fb65cb2618ff_1.jpg
../input/fashiondata/data/shoes/5da816f86504fb65cea6fee1_4.jpg,shoes,5da816f86504fb65cea6fee1_4.jpg
../input/fashiondata/data/beauty/5da81e97b25b035d1d17b0b7_3.jpg,beauty,5da81e97b25b035d1d17b0b7_3.jpg
../input/fashiondata/data/bags/5da818e06504fb65d41c54ed_0.jpg,bags,5da818e06504fb65d41c54ed_0.jpg
../input/fashiondata/data/bags/5da81e6d465e00845f490ba5_2.jpg,bags,5da81e6d465e00845f490ba5_2.jpg
../input/fashiondata/data/beauty/5da821bbb25b035d1d17ba61_0.jpg,beauty,5da821bbb25b035d1d17ba61_0.jpg
../input/fashiondata/data/bags/5da81a06b25b035d1d17a482_2.jpg,bags,5da81a06b25b035d1d17a482_2.jpg
../input/fashiondata/data/bags/5da81af07d3a9baa211f8203_6.jpg,bags,5da81af07d3a9baa211f8203_6.jpg
../input/fashiondata/data/shoes/5da821606504fb65da004c7a_1.jpg,shoes,5da821606504fb65da004c7a_1.jpg
../input/fashiondata/data/beauty/5da8221a6504fb65da005a9f_1.jpg,beauty,5da8221a6504fb65da005a9f_1.jpg
../input/fashiondata/data/bags/5da81bd97f3e301b4504b4e0_1.jpg,bags,5da81bd97f3e301b4504b4e0_1.jpg
../input/fashiondata/data/jewelry and watches/5da81bcb7861c2af6a5a8490_0.jpg,jewelry and watches,5da81bcb7861c2af6a5a8490_0.jpg
../input/fashiondata/data/shoes/5da81ba97d3a9baa211f82f9_1.jpg,shoes,5da81ba97d3a9baa211f82f9_1.jpg
../input/fashiondata/data/shoes/5db810cdd5424ee1f3352b6a_2.jpg,shoes,5db810cdd5424ee1f3352b6a_2.jpg
../input/fashiondata/data/shoes/5da821396504fb65da0049c6_4.jpg,shoes,5da821396504fb65da0049c6_4.jpg
../input/fashiondata/data/bags/5da81f0b7f3e301b4504b9be_1.jpg,bags,5da81f0b7f3e301b4504b9be_1.jpg
../input/fashiondata/data/bags/5da81acb7d3a9baa211f7f32_2.jpg,bags,5da81acb7d3a9baa211f7f32_2.jpg
../input/fashiondata/data/beauty/5da81bffb25b035d1d17a8d9_2.jpg,beauty,5da81bffb25b035d1d17a8d9_2.jpg
../input/fashiondata/data/beauty/5da81b177f3e301b4504b40b_0.jpg,beauty,5da81b177f3e301b4504b40b_0.jpg
../input/fashiondata/data/shoes/5da821a4b25b035d1d17b91f_1.jpg,shoes,5da821a4b25b035d1d17b91f_1.jpg
../input/fashiondata/data/beauty/5da8215fb25b035d1d17b4b4_0.jpg,beauty,5da8215fb25b035d1d17b4b4_0.jpg
../input/fashiondata/data/jewelry and watches/5da81efa7861c2af6a5a92b6_2.jpg,jewelry and watches,5da81efa7861c2af6a5a92b6_2.jpg
../input/fashiondata/data/jewelry and watches/5e497e394c033d18b291a570_2.jpg,jewelry and watches,5e497e394c033d18b291a570_2.jpg
../input/fashiondata/data/shoes/5da821266504fb65da00486c_4.jpg,shoes,5da821266504fb65da00486c_4.jpg
../input/fashiondata/data/beauty/5da821bbb25b035d1d17ba61_3.jpg,beauty,5da821bbb25b035d1d17ba61_3.jpg
../input/fashiondata/data/jewelry and watches/5da81da97861c2af6a5a90ff_3.jpg,jewelry and watches,5da81da97861c2af6a5a90ff_3.jpg
../input/fashiondata/data/beauty/5db81221d5424ee1f335356f_3.jpg,beauty,5db81221d5424ee1f335356f_3.jpg
../input/fashiondata/data/jewelry and watches/5da81d1a7861c2af6a5a8b74_2.jpg,jewelry and watches,5da81d1a7861c2af6a5a8b74_2.jpg
../input/fashiondata/data/beauty/5da81ad87d3a9baa211f8027_5.jpg,beauty,5da81ad87d3a9baa211f8027_5.jpg
../input/fashiondata/data/beauty/5da81f6f6504fb65c4de4024_0.jpg,beauty,5da81f6f6504fb65c4de4024_0.jpg
../input/fashiondata/data/bags/5e593867ce5482d2eaf01fd3_3.jpg,bags,5e593867ce5482d2eaf01fd3_3.jpg
../input/fashiondata/data/jewelry and watches/5da81d1a7861c2af6a5a8b5f_3.jpg,jewelry and watches,5da81d1a7861c2af6a5a8b5f_3.jpg
../input/fashiondata/data/shoes/5e5d4feb2886bf988492bc56_3.jpg,shoes,5e5d4feb2886bf988492bc56_3.jpg
../input/fashiondata/data/beauty/5da81c8d6504fb65d41c5696_3.jpg,beauty,5da81c8d6504fb65d41c5696_3.jpg
../input/fashiondata/data/beauty/5da820e66504fb65da004310_0.jpg,beauty,5da820e66504fb65da004310_0.jpg
../input/fashiondata/data/bags/5da81b177f3e301b4504b44c_5.jpg,bags,5da81b177f3e301b4504b44c_5.jpg
../input/fashiondata/data/jewelry and watches/5da819936504fb65c4de3c0d_1.jpg,jewelry and watches,5da819936504fb65c4de3c0d_1.jpg
../input/fashiondata/data/shoes/5da81c8d6504fb65d41c568d_0.jpg,shoes,5da81c8d6504fb65d41c568d_0.jpg
../input/fashiondata/data/bags/5e593867ce5482d2eaf01fb0_5.jpg,bags,5e593867ce5482d2eaf01fb0_5.jpg
../input/fashiondata/data/jewelry and watches/5da81bd76504fb65d41c5662_0.jpg,jewelry and watches,5da81bd76504fb65d41c5662_0.jpg
../input/fashiondata/data/shoes/5da81d5b7f3e301b4504b669_0.jpg,shoes,5da81d5b7f3e301b4504b669_0.jpg
../input/fashiondata/data/beauty/5da822ad7f3e301b4504bbc1_1.jpg,beauty,5da822ad7f3e301b4504bbc1_1.jpg
../input/fashiondata/data/bags/5da81aeeb25b035d1d17a5b9_5.jpg,bags,5da81aeeb25b035d1d17a5b9_5.jpg
../input/fashiondata/data/beauty/5da81c1db25b035d1d17a9af_4.jpg,beauty,5da81c1db25b035d1d17a9af_4.jpg
../input/fashiondata/data/shoes/5da8219e6504fb65da00511a_3.jpg,shoes,5da8219e6504fb65da00511a_3.jpg
../input/fashiondata/data/beauty/5da81c1db25b035d1d17a984_0.jpg,beauty,5da81c1db25b035d1d17a984_0.jpg
../input/fashiondata/data/bags/5da81f6f6504fb65c4de4009_3.jpg,bags,5da81f6f6504fb65c4de4009_3.jpg
../input/fashiondata/data/bags/5da8192d6504fb65cea6ffdc_4.jpg,bags,5da8192d6504fb65cea6ffdc_4.jpg
../input/fashiondata/data/beauty/5da821347f3e301b4504baa8_5.jpg,beauty,5da821347f3e301b4504baa8_5.jpg
../input/fashiondata/data/bags/5e5feb9378f62966cd62217b_2.jpg,bags,5e5feb9378f62966cd62217b_2.jpg
../input/fashiondata/data/bags/5db810d1d5424ee1f3352bf0_3.jpg,bags,5db810d1d5424ee1f3352bf0_3.jpg
../input/fashiondata/data/jewelry and watches/5da81ca47861c2af6a5a868b_0.jpg,jewelry and watches,5da81ca47861c2af6a5a868b_0.jpg
../input/fashiondata/data/beauty/5da817a46504fb65d41c53bc_0.jpg,beauty,5da817a46504fb65d41c53bc_0.jpg
../input/fashiondata/data/beauty/5da81f197861c2af6a5a943e_0.jpg,beauty,5da81f197861c2af6a5a943e_0.jpg
../input/fashiondata/data/jewelry and watches/5da81bd97f3e301b4504b4c9_4.jpg,jewelry and watches,5da81bd97f3e301b4504b4c9_4.jpg
../input/fashiondata/data/jewelry and watches/5db8121fd5424ee1f33534f2_3.jpg,jewelry and watches,5db8121fd5424ee1f33534f2_3.jpg
../input/fashiondata/data/jewelry and watches/5da81cf17861c2af6a5a8a0d_3.jpg,jewelry and watches,5da81cf17861c2af6a5a8a0d_3.jpg
../input/fashiondata/data/jewelry and watches/5da81d517f3e301b4504b607_2.jpg,jewelry and watches,5da81d517f3e301b4504b607_2.jpg
../input/fashiondata/data/shoes/5da81cd67861c2af6a5a8864_1.jpg,shoes,5da81cd67861c2af6a5a8864_1.jpg
../input/fashiondata/data/shoes/5db81113d5424ee1f3352ddf_3.jpg,shoes,5db81113d5424ee1f3352ddf_3.jpg
../input/fashiondata/data/jewelry and watches/5da81b55b25b035d1d17a6d4_2.jpg,jewelry and watches,5da81b55b25b035d1d17a6d4_2.jpg
../input/fashiondata/data/bags/5da81be36504fb65cb26172b_1.jpg,bags,5da81be36504fb65cb26172b_1.jpg
../input/fashiondata/data/beauty/5da8218b6504fb65da004fb5_2.jpg,beauty,5da8218b6504fb65da004fb5_2.jpg
../input/fashiondata/data/beauty/5da8204d6504fb65da003975_2.jpg,beauty,5da8204d6504fb65da003975_2.jpg
../input/fashiondata/data/jewelry and watches/5da81b177f3e301b4504b44d_3.jpg,jewelry and watches,5da81b177f3e301b4504b44d_3.jpg
../input/fashiondata/data/shoes/5da81a506504fb65c4de3cf1_0.jpg,shoes,5da81a506504fb65c4de3cf1_0.jpg
../input/fashiondata/data/beauty/5da821266504fb65da0048a6_2.jpg,beauty,5da821266504fb65da0048a6_2.jpg
